queueLength:vector AmusementAlt4.TicketQueue1 (#0 - General-0-20190508-14:47:15-3216),,queueLength:vector AmusementAlt4.SecurityQueue1 (#0 - General-0-20190508-14:47:15-3216),,lifeTime:vector AmusementAlt4.EnterPark (#0 - General-0-20190508-14:47:15-3216),
0,0,0,0,97.47993272911,97.4799327291100037
351.363291923418,1,,,126.379835093089,73.2702607602799954
369.673613619676,0,,,136.659821271953,120.7423311806399791
381.128388438452,1,,,139.709035501511,70.85543836906398925
384.033948984296,2,,,206.133289180753,117.739563520439986
384.413320368318,3,,,237.011992349417,104.1477782483800066
385.308885112586,2,,,282.308210759443,136.3663453139799907
392.248736581852,3,,,290.146791364942,52.93919628464900005
392.671346773211,2,,,307.553665841998,100.4617559344499963
411.439696129217,3,,,338.450001015051,140.5430538526100005
418.108988981467,2,,,393.323171963506,115.2977325649799805
421.085248975908,1,,,413.706121447455,89.933269399777998
423.394617665585,2,,,417.690228633398,109.3340697550700038
445.372867016604,3,,,454.546659059257,103.1833671358400008
466.549549646356,4,,,456.873230908801,118.3438330260100025
472.568906454161,3,,,502.617185951953,118.5832369676599848
481.582187534918,2,,,509.061484142694,127.9330957042400025
482.374861853129,1,,,509.781202623294,125.3678822549800026
488.7614985601,2,,,548.632663374022,156.3839267921699726
508.878918663431,3,,,556.623175998577,111.2503089819699935
514.91606050592,2,,,566.477407774693,143.0827901091099642
545.347310621478,1,,,580.228781271459,168.7890851422399687
546.591222040485,0,,,646.171259076287,137.2923404128599707
617.506137068366,1,,,651.259636561384,184.7100869150299891
619.845245264215,2,,,678.209956500343,80.2411009133909939
620.293466142712,1,,,680.092681002804,191.3311824426999687
621.181584567194,0,,,715.570777997215,98.0646409288490015
644.35150892538,1,,,733.402186144057,113.5569408798399986
666.747796240459,2,,,755.605410112497,113.2967988176199863
668.333034685511,1,,,795.702814151589,128.9550179111299707
668.768491746638,2,,,801.742883463651,132.9743917170100072
683.020163613302,3,,,810.52407242462,166.1725634992399696
686.309160276304,2,,,843.751304706751,160.7311410934499913
705.612072259049,1,,,876.613317580698,118.3546082773199825
728.303511821532,0,,,882.500573503812,90.2067061543199881
781.596179834354,1,,,913.778981728923,132.1828018945699903
782.996487314492,0,,,952.441326158244,105.2674693496699939
832.358677799636,1,,,952.925405707075,120.5667279074399966
833.773564889589,0,,,982.319728933897,106.622145612919979
853.680665119158,1,,,988.04880543571,134.368140316550011
855.531792916879,0,,,1032.103652893462,101.9178393035599864
875.697583320975,1,,,1047.347581817987,134.8243490672699631
888.873951565161,0,,,1072.038430004491,125.7566684185599962
912.523232750716,1,,,1074.823739984273,122.2475451812499893
930.185813589902,2,,,1095.102100792743,131.1678229201099833
935.28897126079,1,,,1108.05607807112,126.1899827827699875
936.559109821909,0,,,1127.887766597885,100.7469997923199965
946.28176158593,1,,,1152.429146420732,101.2436082702400025
950.03013450783,0,,,1155.851642224632,94.0516541418080005
952.576194803023,1,,,1190.02518179891,85.63520579472498165
962.727998376713,0,,,1224.638773909195,98.6921002222809985
963.934277872628,1,,,1236.034088719725,89.43147481990300175
981.866095288346,2,,,1263.55987214197,96.8966197583000048
1011.828951774146,1,,,1264.531544152842,105.0468360865699817
1012.440629489649,0,,,1296.340137260723,66.65599764477798285
1061.799988082824,1,,,1301.746922882106,125.4109567666500023
1071.672481479126,0,,,1315.575450550757,128.0402630338199965
1176.335966115458,1,,,1357.778816622293,90.70298942295499915
1187.535187516938,2,,,1379.343434403354,114.3140195010699921
1187.600176589978,1,,,1380.338715677657,129.4743883540899668
1218.701345856617,0,,,1417.677208093623,161.811250870499975
1255.865957223123,1,,,1447.341820348223,168.8167621203199921
1265.029414902287,2,,,1450.909684163273,156.98308874444001
1267.075827199338,3,,,1521.217473181834,87.53373947412700285
1269.06148797322,2,,,1530.627858391462,98.3776323700130029
1278.525058227905,3,,,1542.230112432936,99.2009273970309945
1281.849968431048,2,,,1557.112529753718,127.8781239361499895
1281.873488672464,1,,,1585.825707583526,108.0916015755399822
1293.92659541883,2,,,1608.742067950603,140.1061988384499835
1334.68935566063,1,,,1667.480550423321,115.5472325772599897
1336.689144831922,0,,,1673.281051874539,95.0726674038169785
1468.635869112153,1,,,1685.651272010184,119.8948344190299901
1477.734106007988,2,,,1686.119838494508,120.737310311769988
1493.404136654199,1,,,1712.153015435512,81.3002537138149816
1494.229291341774,0,,,1773.329256424859,111.8598701778099945
1772.213219059783,1,,,1824.752268225476,108.8559168601699976
1789.072794568071,2,,,1849.48471750872,93.6449267936170025
1791.002590538014,1,,,1868.04791854259,99.9553404524679931
1815.539639831943,0,,,1885.361063607483,122.0435429743199901
1815.979743232749,1,,,1891.933259831624,119.7200407718399896
1817.141190475068,2,,,1910.217956060654,121.1451614925800011
1828.539141781197,3,,,1955.958427111712,127.4192853305099785
1840.091140441839,2,,,1956.924880451566,140.9451372188199792
1841.921416254995,3,,,1968.86811229469,151.7269218196199738
1849.577498706475,2,,,1981.599207547599,139.6777912925999766
1851.409742061654,3,,,2038.263083251151,148.2861384519000006
1852.995085526695,2,,,2056.443065562351,205.0333235006999633
1889.919432413985,1,,,2061.828857235066,121.2480838891899845
1889.976944799252,2,,,2072.789837096309,124.4953098695299895
1924.599750253852,1,,,2073.409210823701,138.0354657087700043
1927.77831383784,0,,,2118.203825090313,81.73599781732599435
1940.580773345878,1,,,2128.384030040425,133.1326275850499878
1948.294527226783,2,,,2151.804091132541,103.155371605379997
1957.624031910103,1,,,2198.574958978462,91.03663390283199385
1994.181150337121,0,,,2256.320861717873,85.6406258139309951
1995.25140245537,1,,,2280.626536788693,98.8895334717149975
2023.312919161644,0,,,2303.437356781628,100.9162407330200036
2256.557436726039,1,,,2328.37060445956,119.3451680514299933
2260.40126026641,0,,,2357.222873283071,100.6654365570300054
2260.402665542882,1,,,2359.534149451964,117.5471895806099947
2269.282137573351,0,,,2381.911506064087,104.8412757082899984
2277.0702303558,1,,,2398.130516263042,137.7278507201600058
2280.675716347366,2,,,2437.616746570851,156.941030223489974
2283.475781466983,1,,,2437.793521906516,143.726993741929959
2294.066528164588,2,,,2449.753633096011,126.0774835716599961
2294.685053995798,3,,,2475.720794290487,181.0357402946899577
2323.67614952435,4,,,2522.227115762965,153.4998043758399712
2325.140138602345,3,,,2527.176726147429,176.0137163346699928
2328.67766126641,2,,,2556.484679845378,186.4551111625199828
2351.163009812758,3,,,2568.967726687197,198.6068361159099702
2353.704565121098,2,,,2569.039938544907,182.4562275290599578
2355.979729520373,1,,,2619.914597087183,153.3728813210099696
2368.727311387123,2,,,2620.421835236702,180.786953910449994
2370.029568682856,3,,,2636.804391224031,178.5172727923999781
2370.360890571288,4,,,2670.408059253145,198.9380270427199652
2386.583711015847,5,,,2681.459965528207,144.8115137740899733
2403.648331324775,4,,,2692.769273487941,151.7988974019399957
2420.967344554537,3,,,2701.960878519275,141.7502639014699635
2431.690174933425,2,,,2742.045729432984,128.0554825770299766
2433.157712819533,1,,,2757.667225102729,157.8016323928599713
2439.634881326256,2,,,2769.36124747322,166.5511540170899701
2458.287118431633,3,,,2799.258838228717,143.6639922726599816
2466.54171576617,4,,,2801.614768687655,153.0918542368600008
2471.470032210425,5,,,2821.753287811354,101.3591825172800038
2477.662755527047,4,,,2849.393998428076,118.9715048036299828
2487.40262614388,3,,,2872.519185123116,134.2266432762099833
2515.430950850609,2,,,2875.088010080765,147.5080266841699762
2527.7304374218,1,,,2906.922482325701,167.5317930277699922
2536.648451754118,2,,,2936.245942912506,124.8449037390899997
2540.970376086002,3,,,2950.827045226221,150.3391603481499595
2554.559180462201,2,,,2974.270091361717,109.0027576509500019
2560.210614617803,3,,,2979.990061804241,140.691640805559984
2578.617139094438,2,,,3014.085153430941,135.4317622804499587
2578.695808485084,1,,,3031.100120319755,110.9088975372799834
2598.027118881235,0,,,3034.086331019845,149.353508684779967
2599.865592709871,1,,,3042.72886174913,146.327563993349997
2602.810093456133,2,,,3084.804964571824,162.8069969077199625
2613.990246855952,3,,,3094.248093788285,149.5010299752499913
2648.522914450797,4,,,3122.254897582546,199.0863719395100012
2654.079597651302,3,,,3133.469244563681,177.911669483659977
2655.23114271281,2,,,3148.289292358784,194.1800994810599825
2655.313786033209,1,,,3162.183305509886,188.9105175092699932
2655.594845956057,2,,,3194.405887844735,220.9383916573099775
2670.411240250633,1,,,3219.356845853715,239.517672708709994
2703.229426973962,0,,,3229.260333710465,204.899480776620009
2720.394105294074,1,,,3234.821527160913,193.2273243911599815
2721.164569189412,0,,,3301.947826324761,249.6455365331399882
2727.579983396596,1,,,3308.178513458501,168.2021552438699806
2730.42249362445,2,,,3312.25125941492,195.8527930310700063
2738.292541846904,3,,,3314.776190607219,190.4965727844199813
2739.390689297926,4,,,3357.993430716565,216.0811230557799822
2740.843983721409,3,,,3359.092541603449,109.8128556165799804
2767.436183278099,2,,,3365.542267771519,211.4203032107799902
2771.167251188121,1,,,3372.870534192711,170.4682410218100008
2798.585296354361,0,,,3405.978106536809,156.1495785413299581
2800.487884878068,1,,,3433.036502078852,157.690728793250002
2811.401039173414,2,,,3447.624778129012,177.5808668715499715
2833.781064800298,1,,,3466.649218270209,130.6245935366599718
2839.298420998677,2,,,3493.211063278194,155.4097908915499595
2839.8743470883,1,,,3504.573899882008,163.2994962312000093
2846.143358991268,0,,,3505.30095522294,103.71352132075998
2865.267333710771,1,,,3551.344849368748,150.4348525714199803
2878.653391150492,2,,,3576.56384528392,103.7670708522099966
2881.886252191419,1,,,3581.124625428369,172.2030884502999575
2884.732822335069,2,,,3582.023589863371,107.1533986988199839
2896.401297755775,3,,,3598.896117342421,83.30004243242998975
2914.013346997601,2,,,3639.470381002609,109.0959056938299907
2917.965126980035,1,,,3660.221381859022,97.6598957650919882
2920.191222782474,2,,,3670.484360255056,128.909717479670007
2921.997967664108,3,,,3692.232415782518,129.4287447873599598
2923.168525643038,4,,,3729.74670394174,86.99176341217798825
2940.023512958719,3,,,3735.205777474377,88.8933017876879883
2940.898471270895,2,,,3760.341848802567,81.1257045743899991
2944.74706381303,3,,,3784.524343991045,74.72942234863100425
2954.109192877727,4,,,3796.734375071165,63.9262015701619928
2955.557575080019,5,,,3824.37741256905,69.64538784785997875
2973.272788000617,6,,,3859.077506996879,90.5752045148069836
2973.467496187428,7,,,3861.66400773598,86.3947828799349789
2979.839173145009,8,,,3919.958938770449,66.70666022009800125
2982.876766019772,7,,,3971.879247419152,112.6794983106399851
3004.742072117437,6,,,3974.744850828456,130.062724361699963
3005.028821950493,5,,,4031.235077937759,94.2592627398399823
3021.267145320176,4,,,4036.064697744195,107.4078345176299929
3024.360852933846,5,,,4045.887584318158,114.6499510279099921
3041.594202769751,6,,,4079.227086576021,97.8269877141050013
3052.30228979162,7,,,4089.800218139346,104.780923969579987
3053.170266942828,6,,,4115.603611520591,133.0009452760700122
3067.530392583072,5,,,4134.769712459539,107.0563703989499796
3094.583510089719,4,,,4160.450443868476,85.0550833028779888
3109.702867357504,3,,,4180.416289078926,113.6942256207999828
3116.398466383855,4,,,4195.256439300306,135.7959526458699878
3118.75361539943,3,,,4259.545624638767,94.3723735072349821
3122.509954745591,2,,,4260.360268850663,127.816401328739999
3124.279617822794,3,,,4265.945014628866,81.8497286722499948
3139.976358214626,4,,,4278.551542170608,137.4294379332599757
3141.912307660788,5,,,4338.553099838972,124.5174214594399867
3154.121964560742,6,,,4339.173732480252,151.7725862772199996
3160.957571362215,5,,,4341.450917299466,130.2301420284999831
3180.95576158582,4,,,4364.402058149179,140.85958637681
3202.402293170901,5,,,4412.875042074563,148.750002799009962
3202.784681158856,4,,,4414.357989365001,166.2956855278699772
3204.145708859355,3,,,4423.850966788669,181.775723010369972
3249.279685986872,4,,,4434.290050901143,95.7768454076000063
3249.828527995477,5,,,4457.708945851081,104.3081751295799788
3262.851247147543,4,,,4491.152387303808,118.1010497278599867
3269.873711581141,3,,,4504.805309904394,92.0977207229740028
3270.043911257461,4,,,4534.135915948593,77.4217403582889855
3271.965890884739,3,,,4578.888052727587,99.3530104522159828
3273.205419781618,2,,,4612.85497950697,88.64714020962497875
3275.345773285598,3,,,4659.213509379728,92.7275337894489833
3320.515808070789,2,,,4692.975323031123,87.53007631315099915
3330.364457390347,1,,,4705.27239485484,99.9854550669909937
3336.024624733549,2,,,4717.094112408736,111.1522015358399923
3337.80127238664,3,,,4744.846325950851,84.5189700445519914
3339.375314172173,2,,,4745.163015275024,88.17157453117400175
3341.274403650808,3,,,4777.342103503438,67.92946424158998265
3345.47764569107,2,,,4786.501209829264,94.3028647176940063
3376.926115046942,1,,,4798.180497112079,129.4635547363999985
3400.909996797333,2,,,4799.015660268672,63.845216224620003
3401.587433902182,3,,,4867.92731202351,114.4114320412199955
3408.921536978064,4,,,4899.383341627573,88.4863189222139961
3409.767537716862,3,,,4912.031246171569,109.2624808011599948
3412.748256651405,2,,,4947.640604112232,71.66840818949199825
3425.455437214277,1,,,4956.793640664852,95.4988440825619872
3450.304999980451,0,,,5025.522361975373,116.6831013485199828
3472.796774431711,1,,,5032.151397415172,103.7862963289399825
3474.870191164551,2,,,5057.472053597041,86.68386337389699715
3476.873984071289,1,,,5114.137715698087,102.2684757976699923
3480.109792700585,0,,,5118.802810112848,104.3559972916000045
3530.374475308774,1,,,5150.523653346595,100.6497741389399887
3541.57464277539,2,,,5153.477654131656,101.135585493849987
3543.663235251448,1,,,5168.438972747359,112.2549925865799873
3545.554286499621,0,,,5217.979328517407,95.3432678370049868
3562.803670995162,1,,,5218.869563662934,157.02413478520998
3587.944576560156,0,,,5248.082916271746,108.0545483745999884
3982.602666244516,1,,,5260.722770812791,109.0886111559800038
3985.019294169768,2,,,5318.617960948169,118.602773408189989
4005.10502192208,1,,,5330.900417972748,129.6489074598100043
4006.132124951661,0,,,5337.378467984281,123.2524613542900051
4066.722063458121,1,,,5391.838866576511,124.3150956172700031
4070.907344202082,0,,,5409.107284637898,114.3978322222699828
4075.395360565598,1,,,5426.549615086594,166.7557277682199691
4077.128410619317,0,,,5443.735576284352,167.217537966189979
4141.122104237351,1,,,5456.00215365321,146.4045419760299746
4145.101814816895,0,,,5462.696605515351,160.0375715012600032
4187.401146203031,1,,,5506.694382331987,178.4051623278199933
4211.220775270964,2,,,5510.749077620608,175.060274021429961
4214.035678379535,3,,,5512.366443322112,163.6894251870500051
4223.542471772366,4,,,5516.974918123475,157.9738308896700113
4228.445426608964,3,,,5557.158280055273,183.7051480707600027
4232.249520053961,2,,,5571.069262701003,168.3522763442999796
4234.289705026039,1,,,5589.625166837709,195.662969603279975
4242.075243778303,2,,,5599.81828295278,215.0311117712699902
4244.902456424006,1,,,5636.354809048982,231.601509852739979
4248.062303837131,2,,,5657.673196129106,75.491124221945
4264.125039275556,3,,,5664.711012338332,238.5560633495300057
4298.342760328497,2,,,5676.546117676721,105.7217996319500054
4302.789699920195,1,,,5712.23534973464,72.66554963008198315
4312.947734486198,0,,,5740.876890474043,156.4313519190399682
4353.400770721498,1,,,5848.670634457809,79.25063451040099915
4371.622150825993,0,,,5855.918898849809,134.3504128918600025
4373.051337575945,1,,,5860.928874794096,93.5552444381389986
4383.367729533735,0,,,5885.984728806364,97.2560128650249847
4660.327355906299,1,,,5951.220946663569,73.0571046377710044
4663.212801777069,0,,,5957.149386919911,162.8909172965499571
4692.19834511157,1,,,6047.924677548527,91.5580201296550054
4692.955458965826,0,,,6071.86509897211,102.2768455366399959
4709.412639261848,1,,,6072.245010684107,91.0999327037289954
4714.740749603026,0,,,6103.288860432552,123.3572684556699808
5056.183980160775,1,,,6111.010799455999,121.4119257142799876
5061.845428877724,2,,,6130.960826742643,110.7686212843899792
5072.530325458045,1,,,6159.462291795634,159.6579900987399577
5101.543549419462,0,,,6187.760251951101,158.1758858502799962
5201.251510512942,1,,,6190.823390860145,93.1071893048049898
5203.03090724858,0,,,6192.895386287605,144.2453015623299843
5214.126006629986,1,,,6232.543857120924,127.0837062207600067
5233.670880312949,0,,,6258.103861008963,103.374700229459989
5267.523770959244,1,,,6261.764394238937,131.2740641997600046
5276.518038318167,2,,,6285.551960092435,128.6421620405000107
5291.156657336502,1,,,6293.679929348215,160.8637659737099733
5291.809946821727,0,,,6318.972605066563,139.141246313349995
5294.709452415624,1,,,6326.440145043686,131.2980046449899868
5302.659034014089,2,,,6350.973262542604,147.0540386030700113
5304.151444659583,1,,,6366.732323854613,162.4269378112199996
5309.597611677183,2,,,6421.026036794666,178.9983486144599845
5328.289220004162,3,,,6426.20241677743,182.495527796559997
5335.688803599179,4,,,6437.84217024224,177.3538825376899688
5348.677018135067,5,,,6437.853178765513,178.7336685686299795
5356.132925267075,4,,,6476.198110149863,201.2887743569199863
5359.001087233805,5,,,6487.929630244378,206.6256811965999981
5373.45313198451,6,,,6492.908951396399,172.8077671567999682
5384.787171181505,7,,,6500.510392172972,224.2439388190699663
5386.102796739698,6,,,6549.839085236627,184.223501335560001
5387.586900167001,5,,,6552.118915163231,177.9048872073900035
5393.962197234434,6,,,6578.55583231439,202.881553481699995
5402.716986356699,7,,,6593.841358010606,187.7495610252499877
5404.75329919624,8,,,6612.774624276022,128.1570473271499957
5407.91156473265,7,,,6622.143740312955,166.0087836768099687
5422.913147850916,6,,,6636.118959569621,149.4497974228099787
5426.1549489888,7,,,6644.191733734053,142.6598585011399786
5427.950582091104,6,,,6674.864229569092,135.141253966100009
5474.98676219978,5,,,6685.981443545553,127.4007394083500055
5477.056648540616,4,,,6697.906603462342,158.1062713956100077
5478.262418169203,3,,,6732.854405657677,148.8415014740799615
5479.88568384115,2,,,6753.402786925362,97.2092209594469803
5527.051769070007,1,,,6787.039537430984,184.2664709352299603
5548.766326658183,0,,,6855.552197642648,122.5203056074399791
5584.445538555003,1,,,6887.971116450955,102.0600318745200066
5616.342339720029,0,,,6906.751159558017,131.2006561239400067
5794.258469623359,1,,,6923.370678435365,69.7447758008279945
5826.378310380898,0,,,6971.764338315399,108.004734084839981
5989.598873741719,1,,,6978.052187664209,119.17117683088
5999.80430169689,2,,,6981.312326588606,104.3626663567299882
6019.841876556114,1,,,7031.451174301031,140.8788085071699918
6020.192205458252,2,,,7075.779251750223,132.6842468654400018
6029.584366100823,3,,,7076.027238250129,170.1203648137199585
6035.707719395088,2,,,7077.861291815641,127.6092334843000055
6048.650084725276,3,,,7089.575780663785,132.0698996083199853
6049.47097673238,2,,,7141.963049898224,129.697499148100007
6070.869920670347,1,,,7171.638966148581,203.6845002261699727
6082.993900184248,0,,,7174.005699951425,203.7740208828899987
6097.71620155534,1,,,7179.441575780243,149.02776663134
6105.460150900161,2,,,7217.267996555914,167.971362365679965
6114.167477538705,1,,,7218.31731276113,155.8112006852699658
6130.490330039174,2,,,7228.382210236789,113.4195877229599883
6130.685247827074,1,,,7235.832219760963,87.7217068337679958
6132.81616337451,2,,,7293.86573320295,124.5241539498299797
6138.347147768439,1,,,7308.195178725349,114.1041707577099938
6154.729160779499,2,,,7308.574604694075,112.0982993269399795
6156.909798051931,3,,,7322.039819213842,133.2587120991599926
6160.461334239152,2,,,7364.666984829274,166.4932049859099828
6179.831358753213,3,,,7370.971292680699,158.8558503872299633
6185.741773140118,2,,,7377.758550188915,174.8085991565599778
6191.196453039761,1,,,7390.932920466364,167.7357952759500102
6195.142140398698,2,,,7443.161539100207,218.632311164969962
6203.919223939539,3,,,7445.96552645337,220.1230348145999746
6204.305386043392,4,,,7464.938694834069,228.2863814236799832
6231.645651782476,3,,,7489.084780523321,243.86730653669997
6234.269340724521,2,,,7489.094681287928,189.9960536016599793
6242.027688180206,3,,,7497.427567922808,265.4455286331899507
6243.706888980872,4,,,7527.801043633058,212.5266134211900058
6248.487854114941,3,,,7571.254493185212,194.4217205639499746
6258.84219898418,2,,,7582.87938593496,172.044134728419976
6259.119510196886,3,,,7591.935863455942,243.241701740209975
6260.488287704551,4,,,7618.949888325954,162.7548293026899835
6274.909335792944,5,,,7626.562839588114,166.8569076690499735
